"","reference","paperID","common_name","species_cleaned","dispersal_type"
"81","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"82","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"83","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"84","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"85","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"86","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"87","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"88","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"89","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"90","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"91","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"92","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"93","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"94","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"95","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"96","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"97","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"98","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"99","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"100","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"101","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"102","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"103","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"104","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"105","Pårt & Gustafsson 1989","p022","collared flycatcher","Ficedula albicollis","breeding"
"106","Strickland 1991","p023","gray jay","Perisoreus canadensis","natal"
"107","Strickland 1991","p023","gray jay","Perisoreus canadensis","natal"
"108","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"109","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"110","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"111","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"112","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"113","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"114","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"115","Montalvo & Potti 1992","p024","pied flycatcher","Ficedula hypoleuca","breeding"
"116","Schwartz & Franzmann 1992","p025","black bear","Ursus americanus","natal"
"117","Glander 1992","p026","mantled howling monkey","Alouatta palliata","natal"
"118","Beaudette & Keppie 1992","p027","spruce grouse","Falcipennis canadensis","natal"
"119","Beaudette & Keppie 1992","p027","spruce grouse","Falcipennis canadensis","natal"
"120","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"121","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"122","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"123","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"124","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"125","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"126","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"127","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"128","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"129","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"130","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"131","Paye & Payne 1993","p028","indigo bunting","Passerina cyanea","breeding"
"132","Wiggett & Boag 1993","p030","colombian ground squirrel","Urocitellus columbianus","natal"
"133","Wiggett & Boag 1993","p030","colombian ground squirrel","Urocitellus columbianus","natal"
"134","Wiggett & Boag 1993","p030","colombian ground squirrel","Urocitellus columbianus","natal"
"135","Wiggett & Boag 1993","p030","colombian ground squirrel","Urocitellus columbianus","natal"
"136","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","natal"
"137","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","natal"
"138","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","natal"
"139","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","natal"
"140","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","breeding"
"141","Small et al. 1993","p031","ruffed grouse","Bonasa umbellus","breeding"
"142","Sæther & Heim 1993","p032","moose","Alces alces","natal"
"143","Korpimäki 1993","p033","tengmalm's owl","Aegolius funereus","breeding"
"144","Korpimäki 1993","p033","tengmalm's owl","Aegolius funereus","breeding"
"145","Larsen & Boutin 1994","p034","north american red squirrel","Tamiasciurus hudsonicus","natal"
"146","Pärt 1994","p035","collared flycatcher","Ficedula albicollis","natal"
"147","Pärt 1994","p035","collared flycatcher","Ficedula albicollis","natal"
"148","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"149","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"150","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"151","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"152","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"153","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"154","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"155","Wauters et al. 1994","p036","eurasian red squirrel","Sciurus vulgaris","natal"
"156","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"157","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"158","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"159","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"160","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"161","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"162","Getz et al. 1994","p037","prairie vole","Microtus ochrogaster","natal"
"163","Van Vuren & Armitage 1994","p038","yellow-bellied marmot","Marmota flaviventris","natal"
"164","Van Vuren & Armitage 1994","p038","yellow-bellied marmot","Marmota flaviventris","natal"
"165","Steen 1994","p039","root vole","Microtus oeconomus","natal"
"166","Malizia et al. 1995","p040","tuco tuco","Ctenomys talarum","B"
"167","Alberts & Altmann 1995","p041","yellow baboon","Papio cynocephalus","natal"
"168","Stuart-Smith & Boutin 1995","p042","north american red squirrel","Tamiasciurus hudsonicus","natal"
"169","Plissner & Gowaty 1996","p043","eastern bluebird","Sialia sialis","natal"
"170","Plissner & Gowaty 1996","p043","eastern bluebird","Sialia sialis","natal"
"171","Forbes & Theberge 1996","p044","gray wolf","Canis lupus","B"
"172","Tannerfeldt & Angerbjörn 1996","p045","arctic fox","Vulpes lagopus","natal"
"173","Tannerfeldt & Angerbjörn 1996","p045","arctic fox","Vulpes lagopus","natal"
"174","Tannerfeldt & Angerbjörn 1996","p045","arctic fox","Vulpes lagopus","natal"
"175","Monard & Duncan 1996","p046","horse","Equus caballus","natal"
"176","Monard & Duncan 1996","p046","horse","Equus caballus","natal"
"177","Lenihan & Van Vuren 1996","p047","yellow-bellied marmot","Marmota flaviventris","natal"
"178","Schauster et al. 2002","p048","swift fox","Vulpes velox","natal"
"179","Schauster et al. 2002","p048","swift fox","Vulpes velox","natal"
"180","Schauster et al. 2002","p048","swift fox","Vulpes velox","breeding"
"181","Schauster et al. 2002","p048","swift fox","Vulpes velox","breeding"
"182","Miller & Smallwood 1997","p049","american kestrel","Falco sparverius","natal"
"183","Miller & Smallwood 1997","p049","american kestrel","Falco sparverius","natal"
"184","Poole 1997","p050","canada lynx","Lynx lynx","natal"
"185","Lindberg & Sedinger 1997","p051","black brant","Branta bernicla nigricans","breeding"
"186","Gese & Mech 1991","p052","gray wolf","Canis lupus","natal"
"187","Gese & Mech 1991","p052","gray wolf","Canis lupus","natal"
"188","Mappes et al. 1995","p053","bank vole","Myodes glareolus","B"
"189","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"190","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"191","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"192","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"193","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"194","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"195","Olsson et al. 1997","p054","sand lizard","Lacerta agilis","breeding"
"196","Miller et al. 1997","p055","northern spotted owl","Strix occidentalis caurina","natal"
"197","Jones 1988","p056","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"198","Jones 1988","p056","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"199","Ishibashi et al. 1998","p057","grey red-backed vole/grey-sided vole","Myodes rufocanus","breeding"
"200","Ishibashi et al. 1998","p057","grey red-backed vole/grey-sided vole","Myodes rufocanus","breeding"
"201","Ishibashi et al. 1998","p057","grey red-backed vole/grey-sided vole","Myodes rufocanus","breeding"
"202","Scensson 1998","p058","dark whirligig beetle","Gyrinus opacus","breeding"
"203","Scensson 1998","p058","dark whirligig beetle","Gyrinus opacus","breeding"
"204","Olson & Van Horne 1998","p059","townsend’s ground squirrels","Urocitellus townsendii","natal"
"205","Byrom & Krebs 1999","p061","arctic ground squirrel","Urocitellus parryii plesius","natal"
"206","Ekman et al. 1999","p062","siberian jay","Perisoreus infaustus","natal"
"207","Ekman et al. 1999","p062","siberian jay","Perisoreus infaustus","natal"
"208","Loison et al. 1999","p063","chamois","Rupicapra rupicapra","B"
"209","Lozano & Lemon 1999","p064","yellow warbler","Setophaga petechia","breeding"
