"","species_cleaned","n_es","dispersal_pattern","fitness_measure","species_class"
"94","Bubo bubo",2,"Both types","Survival","Aves"
"95","Poecile montanus",12,"Both types","Multiple","Aves"
"96","Petroica traversi",2,"Natal dispersal","Reproduction","Aves"
"97","Canis aureus",2,"Natal dispersal","Survival","Mammalia"
"98","Acrocephalus sechellensis",2,"Natal dispersal","Survival","Aves"
"99","Chionomys nivalis",2,"Natal dispersal","Reproduction","Mammalia"
"100","Bemisia tabaci",2,"Both types","Reproduction","Insecta"
"101","Falco tinnunculus",12,"Both types","Reproduction","Aves"
"102","Stegodyphus sarasinorum",3,"Natal dispersal","Reproduction","Arachnida"
"103","Ochotona curzoniae",2,"Natal dispersal","Survival","Mammalia"
"104","Macaca mulatta",1,"Natal dispersal","Reproduction","Mammalia"
"105","Aegithalos caudatus",6,"Natal dispersal","Multiple","Aves"
"106","Falco peregrinus",2,"Natal dispersal","Survival","Aves"
"107","Malurus elegans",2,"Breeding dispersal","Reproduction","Aves"
"108","Aphrastura spinicauda",3,"Natal dispersal","Reproduction","Aves"
"109","Ammodramus savannarum",1,"Breeding dispersal","Reproduction","Aves"
"110","Gorilla gorilla gorilla",2,"Breeding dispersal","Survival","Mammalia"
"111","Catopsilia pomona",1,"Natal dispersal","Reproduction","Insecta"
"112","Catopsilia pyranthe",1,"Natal dispersal","Reproduction","Insecta"
"113","Lycaon pictus",5,"Natal dispersal","Survival","Mammalia"
"114","Hirundo rustica",2,"Breeding dispersal","Reproduction","Aves"
"115","Somateria mollissima",1,"Breeding dispersal","Reproduction","Aves"
"116","Farancia abacura",1,"Breeding dispersal","Survival","Reptilia"
"117","Athene cunicularia",2,"Natal dispersal","Reproduction","Aves"
"118","Colaptes auratus",2,"Natal dispersal","Reproduction","Aves"
"119","Geomys pinetis",1,"Breeding dispersal","Survival","Mammalia"
"120","Cyanoramphus novaezelandiae",1,"Natal dispersal","Survival","Aves"
"121","Suricata suricatta",13,"Both types","Multiple","Mammalia"
"122","Junco hyemalis",4,"Breeding dispersal","Reproduction","Aves"
"123","Acrocephalus arundinaceus",6,"Natal dispersal","Multiple","Aves"
"124","Neolamprologus savoryi",2,"Breeding dispersal","Reproduction","Actinopterygii"
"125","Python bivittatus",2,"Natal dispersal","Survival","Reptilia"
"126","Lagopus muta",1,"Natal dispersal","Survival","Aves"
"127","Melospiza melodia",15,"Natal dispersal","Multiple","Aves"
"128","Calidris alpina",2,"Natal dispersal","Survival","Aves"
"129","Lamprotornis superbus",6,"Natal dispersal","Multiple","Aves"
"130","Passerculus sandwichensis",12,"Natal dispersal","Multiple","Aves"
"131","Accipiter gentilis",1,"Breeding dispersal","Reproduction","Aves"
"132","Meleagris gallopavo",1,"Breeding dispersal","Reproduction","Aves"
"133","Poecilia reticulata",2,"Natal dispersal","Reproduction","Actinopterygii"
"134","Nycticebus javanicus",1,"Natal dispersal","Survival","Mammalia"
"135","Melitaea cinxia",1,"Natal dispersal","Survival","Insecta"
"136","Argya squamiceps",2,"Breeding dispersal","Reproduction","Aves"
"137","Fulmarus glacialoides",3,"Both types","Reproduction","Aves"
"138","Pagodroma nivea",4,"Both types","Reproduction","Aves"
"139","Diomedea exulans",6,"Both types","Multiple","Aves"
"140","Ursus arctos",3,"Natal dispersal","Reproduction","Mammalia"
"141","Homo sapiens sapiens",12,"Natal dispersal","Multiple","Mammalia"
"142","Salmo salar",4,"Breeding dispersal","Reproduction","Actinopterygii"
"143","Strix aluco",4,"Breeding dispersal","Reproduction","Aves"
"144","Rostrhamus sociabilis plumbeus",2,"Natal dispersal","Reproduction","Aves"
"145","Panthera leo",4,"Natal dispersal","Multiple","Mammalia"
"146","Dendragapus obscurus",3,"Natal dispersal","Survival","Aves"
